SNP	PVALUE
rs2486745	0.5288
rs7512492	0.9578
rs10922415	0.8582
rs11205982	0.6085
rs541897	0.3795
rs12047904	0.05564
rs16828724	0.1654
rs6660351	0.9773
rs882126	0.2986
rs10493909	0.5325
rs11162893	0.8341
rs11584453	0.3913
rs633915	0.5443
rs12030205	0.4684
rs844646	0.7865
rs6691404	0.03029
rs2184877	0.2574
rs10788840	0.5709
rs1529783	0.8883
rs10926027	0.2918
rs10159191	0.1114
rs6682077	0.02304
rs2203132	0.6425
rs2459556	0.06396
rs7534516	0.19334
rs12116794	0.242
rs1884444	0.2555
rs17393698	0.4286
rs1498030	0.6971
rs12039074	0.004018
rs482941	0.14196
rs4660603	0.001201
rs12023560	0.4013
rs12117110	0.8124
rs6429130	0.4987
rs214341	0.4179
rs11581774	0.4267
rs928439	0.4746
rs3134614	0.2833
rs7555095	0.3118
rs4846886	0.9203
rs12066653	0.5264
rs3862252	0.1325
rs1909099	0.3168
rs6689312	0.3021
rs2198511	0.3657
rs679939	0.6689
rs12128076	0.1901
rs1995873	0.17836
rs12027605	0.3601
rs987267	0.07844
rs12089801	0.35
rs12133825	0.08498
rs13373927	0.1468
rs10910030	0.002354
rs1010808	0.04826
rs7512434	0.07819
rs669173	0.4304
rs7539328	0.6403
rs7514041	0.2107
rs3927762	0.7724
rs3767951	0.04601
rs4381263	0.1847
rs6660631	0.9269
rs10737582	0.06878
rs12406998	0.9071
rs10920988	0.3842
rs11163389	0.09542
rs10495177	0.6566
rs2992052	0.9969
rs4494093	0.2485
rs1338576	0.1241
rs2785082	0.08038
rs17024638	0.0324
rs13374766	0.5617
rs2924101	0.7208
rs6702545	0.7803
rs704984	0.05892
rs1009530	0.6208
rs10864553	0.2374
rs319661	0.3914
rs564198	0.647
rs1016815	0.5379
rs2743980	0.12668
rs10922303	0.3469
rs2733260	0.5973
rs10922684	0.1965
rs11586515	0.1108
rs1931297	0.9979
rs17349271	0.8878
rs1021356	0.8825
rs9659686	0.10336
rs11590640	0.5616
rs1901421	0.5538
rs12118936	0.1872
rs1403955	0.7407
rs10789314	0.5421
rs17025427	0.07485
rs17385526	0.4023
rs12736619	0.8832
rs11207687	0.6052
rs17106796	0.8524
rs6593668	0.2405
rs7549910	0.7187
rs12753609	0.2297
rs156988	0.6789
rs12745106	0.7675
rs705687	0.8259
rs6690160	0.6917
rs11162192	0.7618
rs7512106	0.3295
rs10863310	0.3417
rs11580501	0.1007
rs6537851	0.2706
rs4662152	0.8114
rs4908744	0.3999
rs4908506	0.156
rs17460588	0.7324
rs1501501	0.9925
rs11163790	0.5355
rs10802310	0.9846
rs11209020	0.757
rs7551967	0.4009
rs12563321	0.201
rs3754274	0.7674
rs6662171	0.3859
rs2207368	0.5706
rs7524785	0.3789
rs198408	0.2186
rs1935096	0.797
rs10921604	0.9081
rs2182146	0.5535
rs1933160	0.12648
rs611628	0.7479
rs7521483	0.114
rs907057	0.7325
rs11210969	0.5528
rs1609560	0.323
rs17102292	0.5111
rs7543341	0.5733
rs783424	0.1821
rs12043282	0.003711
rs708775	0.4872
rs7546154	0.2622
rs10797081	0.03778
rs6701024	0.8518
rs1874791	0.5979
rs2813956	0.4139
rs1498356	0.015188
rs6691395	0.4298
rs11580390	0.06182
rs12757678	0.4086
rs2421735	0.9784
rs7555690	0.19616
rs2275470	0.1296
rs6663235	0.4698
rs2808226	0.11958
rs12403593	0.03497
rs822837	0.1074
rs10874998	0.8767
rs12130367	0.12238
rs7530449	0.4693
rs2780624	0.4588
rs10746436	0.1932
rs373046	0.5681
rs261857	0.1127
rs12135755	0.7834
rs1493994	0.9
rs4844848	0.4447
rs6664521	0.8941
rs1321172	0.333
rs12724986	0.71
rs10493240	0.2424
rs2782541	0.313
rs1938375	0.5546
rs12121371	0.2356
rs12061954	0.04234
rs2481679	0.3013
rs2806879	0.12646
rs12032466	0.2099
rs11118757	0.6962
rs12144610	0.7219
rs2654889	0.4898
rs13306732	0.2047
rs2879841	0.6365
rs542238	0.2737
rs4475778	0.02408
rs1359468	0.482
rs12029032	0.8524
rs4949204	0.8885
rs2062674	0.7526
rs12122837	0.04194
rs6424478	0.1659
rs2807345	0.4023
rs10753593	0.242
rs4651045	0.7351
rs7528420	0.8174
rs2388	0.6462
rs7535388	0.8477
rs12120243	0.543
rs4537535	0.8165
rs563293	0.2737
rs17117407	0.3528
rs12030279	0.08893
rs2772229	0.6834
rs662921	0.587
rs10047071	0.2792
rs2716125	0.3592
rs1181190	0.1708
rs12030838	0.3744
rs718608	0.04247
rs1213994	0.9449
rs3766178	0.0334
rs12036861	0.4158
rs11211173	0.06641
rs17492231	0.3693
rs1376806	0.7512
rs4658857	0.001092
rs10875037	0.9367
rs7531050	0.06091
rs3131706	0.5529
rs883749	0.3571
rs1481400	0.2644
rs509788	0.3996
rs11579468	0.8702
rs12136992	0.2355
rs693421	0.9015
rs11239993	0.6697
rs2794599	0.4817
rs11208124	0.6
rs17105881	0.3612
rs12026525	0.3331
rs6698578	0.09846
rs12094228	0.03499
rs7543194	0.9235
rs6576931	0.4002
rs4393186	0.7406
rs4908382	0.9364
rs12048175	0.1321
rs12134085	0.1233
rs7556199	0.1136
rs11164027	0.9296
rs7525001	0.07792
rs1569476	0.12372
rs2800796	0.2084
rs16831607	0.6806
rs1418454	0.9958
rs6702844	0.5667
rs1325593	0.7446
rs4418543	0.09387
rs2250864	0.7627
rs11119925	0.9446
rs235856	0.9399
rs17431459	0.2412
rs4409675	0.2018
rs17414071	0.4036
rs4551563	0.152
rs283700	0.9976
rs12567519	0.171
rs4656868	0.2974
rs11163053	0.6566
rs11583308	0.5031
rs6661365	0.8073
rs10864330	0.3785
rs924651	0.5017
rs710213	0.001056
rs10916878	0.1847
rs1264880	0.7089
rs611861	0.2509
rs12123043	0.1381
rs12127655	0.511
rs10753862	0.05722
rs12044569	0.16068
rs6690901	0.3547
rs9424310	0.06162
rs3008572	0.293
rs7551622	0.6821
rs7511872	0.7262
rs6587338	0.7391
rs6685072	0.9057
rs693826	0.0007054
rs6667014	0.4192
rs11102344	0.4746
rs11119306	0.35
rs1341018	0.08553
rs12401422	0.5511
rs1407555	0.8049
rs2780889	0.6367
rs11576349	0.06048
rs12040702	0.00389
rs9332600	0.3807
rs7536719	0.3026
rs6681362	0.5445
rs11587739	0.7571
rs4405170	0.7219
rs1180280	0.6205
rs7539210	0.2904
rs1124615	0.102
rs7536291	0.2127
rs6428674	0.3317
rs1193221	0.4077
rs7513378	0.2845
rs7208	0.1843
rs7536767	0.06094
rs1566358	0.373
rs16848852	0.02022
rs10802951	0.1195
rs12134313	0.3328
rs9919333	0.3881
rs481737	0.4605
rs6604871	0.08403
rs783062	0.1644
rs17131491	0.1142
rs9943225	0.6235
rs1328194	0.1916
rs1502345	0.7299
rs11208069	0.9367
rs6703547	0.8971
rs3122633	0.6927
rs4657752	0.17192
rs618570	0.135
rs4379668	0.5188
rs17113360	0.5958
rs6691849	0.8196
rs6700757	0.7488
rs819910	0.6781
rs10888263	0.06468
rs3928272	0.6515
rs621881	0.8023
rs7522708	0.9109
rs4653815	0.8111
rs11583419	0.02214
rs2791138	0.4577
rs7513677	0.1348
rs10800018	0.4971
rs2136925	0.8942
rs12759463	0.2411
rs4659743	0.4129
rs2936014	0.1336
rs3765702	0.03482
rs1909118	0.8027
rs11102458	0.2375
rs12122076	0.19736
rs478128	0.5814
rs1475629	0.05306
rs2787990	0.11936
rs1769893	0.9037
rs17120508	0.9135
rs3753266	0.7701
rs7522925	0.9834
rs10857869	0.7247
rs2504774	0.1346
rs12035365	0.0418
rs12045199	0.2685
rs7550763	0.08192
rs10888606	0.13264
rs11577878	0.05536
rs2275931	0.4326
rs6699630	0.4006
rs2359851	0.5102
rs4915515	0.2248
rs12027640	0.3342
rs2234167	0.9728
rs7523516	0.992
rs763960	0.6291
rs12402722	0.2551
rs9887967	0.1585
rs3026868	0.9145
rs17350830	0.5019
rs6702418	0.5671
rs7553610	0.15696
rs3966028	0.6816
rs953104	0.6425
rs6690942	0.383
rs4912146	0.5494
rs10442685	0.3492
rs4920226	0.1509
rs10857830	0.2622
rs1146359	0.4301
rs12040306	0.18398
rs10494360	0.4371
rs2172799	0.5512
rs2171692	0.5925
rs2294742	0.4517
rs6656737	0.0493
rs493644	0.104
rs1856149	0.8473
rs4950859	0.1941
rs12131864	0.4813
rs1346720	0.3115
rs11207070	0.6362
rs211702	0.1158
rs16832860	0.14056
rs1686182	0.165
rs277368	0.5155
rs12405572	0.4891
rs12126717	0.6725
rs1768395	0.295
rs278848	0.339
rs2992439	0.9327
rs3820374	0.011374
rs12749199	0.3128
rs2804694	0.1478
rs10429862	0.3668
rs2218500	0.19702
rs2784173	0.04066
rs4487973	0.9543
rs12130934	0.1357
rs10919670	0.3165
rs2298919	0.5736
rs4147022	0.3017
rs7545965	0.8955
rs665062	0.6966
rs7520283	0.4771
rs1432437	0.2668
rs7546734	0.02339
rs11585357	0.05074
rs11585946	0.6181
rs3766296	0.17416
rs2994816	0.9521
rs14021	0.13818
rs11166158	0.289
rs1931331	0.2752
rs7542832	0.4726
rs1811842	0.8629
rs6678027	0.9369
rs12750406	0.18378
rs10751448	0.9162
rs10910036	0.4267
rs12074463	0.9795
rs1537844	0.6955
rs6661517	0.4861
rs954049	0.1221
rs17044816	0.06552
rs7557923	0.1826
rs7570942	0.06584
rs11123366	0.5967
rs13011054	0.05246
rs1208077	0.07576
rs10206639	0.8861
rs13402496	0.1349
rs7596644	0.1247
rs2029629	0.2525
rs17334647	0.5973
rs12691759	0.8967
rs9646973	0.3289
rs6545708	0.14036
rs1405490	0.9762
rs7595846	0.8973
rs11691902	0.4175
rs4233794	0.116
rs12712998	0.09336
rs334622	0.4307
rs2253405	0.012456
rs11681737	0.2315
rs10495672	0.6637
rs6716929	0.167
rs4671866	0.3558
rs10165395	0.5043
rs3748907	0.8739
rs13401553	0.284
rs13002374	0.1549
rs1009283	0.2052
rs925910	0.3657
rs10187606	0.326
rs2959243	0.3044
rs632632	0.7323
rs11689291	0.03091
rs11124336	0.09252
rs16852502	0.755
rs4952313	0.8591
rs17744862	0.10102
rs2385841	0.11064
rs6743600	0.07422
rs6747367	0.3476
rs10176241	0.6646
rs6725388	0.5451
rs6759406	0.111
rs1007194	0.7228
rs13396805	0.19712
rs11691724	0.2064
rs13429377	0.963
rs16867389	0.5837
rs4263142	0.19652
rs4663264	0.4475
rs890038	0.3172
rs10210060	0.6852
rs12615268	0.5225
rs1257020	0.395
rs4483997	0.9582
rs11127140	0.343
rs11894252	0.1242
rs6747709	0.05054
rs1371203	0.4325
rs9678562	0.7982
rs10932856	0.9234
rs1987304	0.6778
rs2052352	0.03864
rs12477015	0.2487
rs4832321	0.07648
rs6726616	0.4365
rs2884291	0.5427
rs1437745	0.92
rs1400722	0.2481
rs1996443	0.7954
rs2421582	0.1383
rs1840321	0.2498
rs4952329	0.5933
rs2052272	0.19038
rs2197077	0.682
rs10197088	0.8084
rs10490758	0.3705
rs880436	0.003474
rs7570809	0.4113
rs17010474	0.14136
rs6735123	0.5114
rs6431833	0.8818
rs1647689	0.4135
rs1227936	0.3599
rs10192250	0.7011
rs12619308	0.2512
rs1257183	0.4264
rs16822638	0.014162
rs4564766	0.9673
rs13391045	0.5385
rs16839136	0.1314
rs12693218	0.2193
rs13428359	0.1772
rs2609107	0.005272
rs12469618	0.01678
rs17404871	0.1647
rs908296	0.6084
rs7586922	0.7347
rs12999675	0.5359
rs296043	0.09202
rs4971373	0.18218
rs2072470	0.6631
rs4473412	0.6637
rs4662800	0.05232
rs4953881	0.9035
rs13028697	0.009836
rs6758325	0.9897
rs4663240	0.127
rs13414566	0.9834
rs887695	0.2816
rs13006748	0.19796
rs11694170	0.3334
rs10165535	0.5276
rs6729671	0.2746
rs6436524	0.7347
rs11677851	0.1542
rs6760718	0.4315
rs4664393	0.3922
rs12611597	0.07929
rs2300700	0.0958
rs12470503	0.7643
rs7562541	0.5584
rs176415	0.7756
rs3806516	0.3643
rs850908	0.2193
rs11678481	0.0412
rs11688647	0.4094
rs1513788	0.627
rs4337474	0.2697
rs9287604	0.7027
rs10193112	0.6223
rs1965422	0.4436
rs11126613	0.5273
rs7604168	0.125
rs6757912	0.01101
rs6749546	0.425
rs6746542	0.06074
rs12989408	0.5887
rs920109	0.1907
rs1527668	0.1065
rs12470403	0.7884
rs11124350	0.19062
rs6531075	0.763
rs171076	0.7625
rs4531873	0.006262
rs2920842	0.3607
rs355829	0.938
rs4849972	0.2906
rs17033026	0.8513
rs6753622	0.8013
rs1454408	0.09964
rs13015886	0.1028
rs2689765	0.2683
rs10202989	0.8971
rs748767	0.1937
rs1554264	0.8938
rs11127491	0.09328
rs13032357	0.8
rs2177126	0.06072
rs1595386	0.03793
rs2917758	0.8064
rs13404452	0.3547
rs17555593	0.17602
rs17645454	0.8449
rs744265	0.07576
rs6712009	0.14224
rs12613984	0.2129
rs2254122	0.8104
rs13414817	0.6505
rs6545699	0.5496
rs11690677	0.1729
rs4666722	0.2922
rs11892502	0.7229
rs6735530	0.1332
rs11127167	0.02268
rs6545260	0.9888
rs11688001	0.7783
rs355811	0.7669
rs4381779	0.3432
rs13001923	0.6555
rs2853628	0.04535
rs430601	0.2561
rs6434589	0.018544
rs13014613	0.4876
rs3770254	0.3523
rs266193	0.3925
rs2293649	0.8385
rs1982342	0.7757
rs1515307	0.008922
rs10207943	0.07449
rs10191711	0.006001
rs17014764	0.134
rs4547503	0.3847
rs6736587	0.9793
rs1834274	0.7108
rs4953248	0.4694
rs10191609	0.06958
rs4580333	0.8111
rs2381751	0.017002
rs334002	0.4695
rs1509742	0.4694
rs7595734	0.0087
rs6731667	0.8499
rs1600882	0.8306
rs1367878	0.0002348
rs16844361	0.05682
rs1864879	0.6327
rs843728	0.4121
rs7595341	0.8311
rs4971485	0.5191
rs6716988	0.6625
rs698819	0.5509
rs4953000	0.6038
rs4430889	0.7887
rs7589994	0.2325
rs13405503	0.09938
rs7581812	0.03936
rs1517658	0.8492
rs6724207	0.3072
rs1065248	0.8921
rs10195113	0.07124
rs10496220	0.4455
rs7560855	0.564
rs2134936	0.5902
rs6713961	0.5702
rs2090569	0.8386
rs11689142	0.3552
rs17017342	0.13294
rs11693999	0.3884
rs10165970	0.1582
rs165171	0.05476
rs3771514	0.9878
rs2317644	0.4452
rs17634754	0.6421
rs7419369	0.2766
rs6741176	0.2197
rs1369294	0.3269
rs13383358	0.542
rs10194452	0.8941
rs1024790	0.1071
rs384823	0.01784
rs955731	0.9615
rs10201462	0.1757
rs2901780	0.6909
rs6745538	0.6258
rs1522699	0.5797
rs12620790	0.07176
rs7586594	0.3089
rs6720400	0.3595
rs4666815	0.1848
rs1451488	0.827
rs4665536	0.9383
rs2133972	0.3683
rs11682422	0.9472
rs4850494	0.5443
rs1878667	0.06028
rs12616930	0.3326
rs4270393	0.4308
rs7576359	0.04521
rs6745986	0.259
rs264590	0.12252
rs16847091	0.3611
rs12622158	0.151
rs10168430	0.07603
rs11677484	0.8129
rs4487072	0.4923
rs906866	0.8351
rs4851712	0.5219
rs811902	0.0822
rs2396296	0.7296
rs420122	0.2269
rs10197329	0.7624
rs1452045	0.7422
rs4667591	0.8258
rs4561641	0.1054
rs7566122	0.7885
rs11892646	0.14686
rs173778	0.7306
rs17507821	0.9597
rs1607331	0.07198
rs1975315	0.2171
rs4467334	0.8831
rs2419973	0.4136
rs921281	0.3665
rs789304	0.004771
rs4971618	0.7864
rs6751223	0.4233
rs1996969	0.4054
rs7421360	0.02922
rs13430969	0.06504
rs7559293	0.6278
rs17017045	0.3324
rs2043874	0.03602
rs1843036	0.9174
rs4671041	0.252
rs2679853	0.113
rs13029278	0.2773
rs4440010	0.6917
rs13033474	0.4959
rs12465195	0.4132
rs17007646	0.6491
rs17355277	0.3944
rs9973340	0.6069
rs1484910	0.5598
rs1405093	0.1202
rs7575195	0.08231
rs11889968	0.5901
rs522638	0.8184
rs13391557	0.6975
rs805453	0.762
rs10932216	0.4371
rs10496075	0.9469
rs6709906	0.05696
rs2217963	0.12472
rs2709993	0.8679
rs7562520	0.7622
rs12995836	0.2691
rs7586463	0.03572
rs6740379	0.1249
rs17334233	0.0003139
rs6732462	0.5292
rs10190397	0.19044
rs17576007	0.3491
rs10496912	0.7965
rs13418133	0.2308
rs17212185	0.02616
rs4399714	0.9224
rs3731568	0.695
rs4668634	0.7557
rs7579574	0.3033
rs2045274	0.8304
rs4140880	0.4985
rs4675644	0.2712
rs1808849	0.7939
rs1377588	0.6908
rs11125583	0.694
rs1356168	0.6455
rs16825401	0.6964
rs10933010	0.3438
rs11692082	0.168
rs1521950	0.12526
rs13384902	0.4311
rs10179882	0.09552
rs11674154	0.06364
rs11900008	0.8102
rs4662477	0.7791
rs549639	0.1148
rs6547361	0.18516
rs3100624	0.284
rs4480989	0.02162
rs6724085	0.3361
rs12617093	0.7983
rs13025521	0.6659
rs13411922	0.7805
rs13034290	0.3472
rs10169252	0.06811
rs1106302	0.2813
rs3764960	0.7258
rs345905	0.5952
rs12477134	0.06838
rs6746510	0.3009
rs10191101	0.3516
rs13028010	0.1487
rs6729950	0.8308
rs268858	0.4695
rs4311010	0.1617
rs2664233	0.2825
rs1430158	0.2407
rs10495803	0.353
rs7602248	0.588
rs1561476	0.03964
rs1524553	0.7182
rs1160086	0.07258
rs10928908	0.13088
rs4078370	0.07171
rs16839135	0.3663
rs12475854	0.9163
rs6545790	0.9579
rs13013135	0.3677
rs4592846	0.008446
rs7584345	0.9919
rs10191295	0.1399
rs2080727	0.0996
rs11894406	0.8535
rs2043014	0.3558
rs7562230	0.8502
rs729616	0.2355
rs2677464	0.7535
rs1344655	0.6293
rs6761057	0.7932
rs17204717	0.01223
rs11684218	0.17856
rs4673015	0.425
rs7606177	0.09905
rs1989561	0.9808
rs9646734	0.07224
rs18122	0.7053
rs6433298	0.5015
rs4372826	0.4528
rs2443761	0.1704
rs10190234	0.8189
rs2372945	0.8914
rs6721811	0.7266
rs10180282	0.7271
rs12714403	0.10998
rs6721127	0.9784
rs10185725	0.5909
rs6545084	0.9861
rs7597880	0.799
rs10084407	0.8965
rs6714213	0.2547
rs7577606	0.6919
rs685211	0.2211
rs12151512	0.07258
rs13387428	0.188
rs753383	0.5854
rs10183867	0.4898
rs1446512	0.463
rs17260979	0.9693
rs13416059	0.8728
rs17005876	0.1428
rs16866885	0.8104
rs4853987	0.7561
rs4671582	0.9059
rs6744444	0.773
rs3771650	0.4357
rs6435986	0.07977
rs12472828	0.018122
rs6545397	0.7466
rs1865951	0.15308
rs6713768	0.1719
rs2577734	0.7535
rs11904632	0.5935
rs10432695	0.8177
rs2571626	0.6785
rs3768950	0.823
rs10930165	0.8127
rs13431811	0.7686
rs906879	0.772
rs13392809	0.4524
rs10205684	0.3113
rs2664231	0.288
rs11676226	0.7571
rs1881570	0.006148
rs2030259	0.04354
rs6436534	0.7603
rs2192574	0.7595
rs7589731	0.5152
rs979821	0.02488
rs4849480	0.03153
rs6724442	0.4652
rs16861007	0.14812
rs7565755	0.2894
rs1550323	0.6298
rs6710942	0.9186
rs1035584	0.7404
rs590345	0.176
rs344691	0.1466
rs12465582	0.3556
rs6437086	0.9475
rs10496158	0.08378
rs6718743	0.8337
rs1357393	0.8349
rs1192368	0.153
rs13429396	0.5938
rs12713789	0.4085
rs12994522	0.8444
rs2674490	0.1293
rs3814361	0.7332
rs7569062	0.1414
rs16849466	0.8779
rs13031164	0.1442
rs2194402	0.64
rs12474057	0.9027
rs4530365	0.16
rs1715834	0.8863
rs6750693	0.07286
rs17017379	0.04722
rs6434162	0.7309
rs6709233	0.6819
rs10514803	0.6588
rs11674899	0.00346
rs2072205	0.3085
rs737027	0.6537
rs12713442	0.1893
rs13004592	0.4473
rs13424039	0.1096
rs1588327	0.691
rs6723703	0.01016
rs12622743	0.8521
rs4109144	0.4703
rs4254538	0.2496
rs2193467	0.3364
rs2347924	0.9472
rs4849114	0.727
rs6744499	0.7799
rs17034184	0.7971
rs10177478	0.3814
rs9288656	0.15148
rs13004950	0.672
rs6755021	0.4472
rs7557203	0.479
rs659185	0.4736
rs7557832	0.02006
rs4668103	0.01185
rs1862114	0.08721
rs6714031	0.804
rs2121945	0.6157
rs7594412	0.2226
rs16984239	0.7219
rs3769187	0.8475
rs1433681	0.5184
rs12478200	0.14378
rs6733695	0.6421
rs4664633	0.03536
rs6431990	0.3447
rs4417726	0.9138
rs17182645	0.6596
rs1380703	0.2391
rs12692925	0.4705
rs10169406	0.6954
rs2709249	0.5262
rs1160728	0.4542
rs1221194	0.6471
rs13428030	0.3393
rs1533476	0.4267
rs4676318	0.06724
rs1667601	0.7979
rs11681374	0.8489
rs7424790	0.5744
rs1226959	0.08924
rs12618307	0.4529
rs16867004	0.8647
rs207895	0.08807
rs16858837	0.8127
rs11127504	0.03808
rs6543181	0.241
