SNP	PVALUE
rs11681146	0.8738777396
rs4669428	0.0956911776
rs1522814	0.0011360692
rs4854335	0.383713579
rs941008	0.7091540095
rs17015864	0.1635319399
rs6718307	0.2192216997
rs6542433	0.3370418155
rs7563353	0.1027897988
rs843702	0.083205771
rs7567306	0.5431183723
rs2165738	0.0017158715
rs6437249	0.0174731046
rs2098461	0.3036101421
rs6707826	0.6978338256
rs283470	0.0179099199
rs6750540	0.5644466011
rs3816516	0.9707304507
rs16853688	0.0767531376
rs1368931	0.2057264205
rs10930214	0.460745376
rs11898260	0.4488457245
rs17864770	0.7943087376
rs12615880	0.0738579571
rs12995829	0.2145595797
rs1357408	0.8952030778
rs13395940	0.6055882134
rs1446564	0.0207971227
rs9308741	0.8957271475
rs698833	0.0026447355
rs6717646	0.8979862707
rs17020138	0.1969622817
rs7607886	0.0469385227
rs17756034	0.6107774027
rs332670	0.2691677145
rs2347397	0.2631240388
rs3738970	0.3278383333
rs10184010	0.2595757017
rs9309684	0.8017022066
rs4666191	0.0152247901
rs10497264	0.1006829989
rs7603242	0.51193215
rs12471149	0.4517067498
rs13012019	0.0457104776
rs2054751	0.775445853
rs4624372	0.0736697001
rs11124059	0.6296951403
rs1006427	0.0463992557
rs4953273	0.3740588617
rs11693905	0.87588908
rs192822	0.027792354
rs10172212	0.0624575693
rs17292943	0.7472481371
rs7575846	0.9390944031
rs1400452	0.0130555779
rs9308948	0.7537983915
rs2176472	0.7310241982
rs11696034	0.0277359196
rs7588925	0.7412238666
rs7370572	0.5815266119
rs4450608	0.8938928397
rs13024934	0.3047434271
rs7424754	0.3197031482
rs2196176	0.4675747102
rs11124809	0.0056159674
rs2551956	0.6954244467
rs1434125	0.1393881088
rs12472005	0.0649553761
rs10170924	0.5502243448
rs7565787	0.6249022278
rs2724851	0.9652413927
rs1267080	0.8418333785
rs11687858	0.8050450034
rs10167555	0.8491945508
rs9287512	0.5423792505
rs4102123	0.8653047224
rs9789351	0.0233384355
rs13032478	0.8259765238
rs12713381	0.7721803466
rs6745691	0.9080387827
rs7574498	0.251802559
rs13026920	0.1648353027
rs1558598	0.0928771309
rs7605826	0.2295754712
rs7569113	0.1366941781
rs11126820	0.4434006654
rs12474405	0.4046355476
rs6547023	0.0680944735
rs11124467	0.3780053858
rs13392281	0.9854531186
rs4146084	0.3543995671
rs7605321	0.4363134334
rs10153553	0.6485644759
rs11124407	0.0540444072
rs2902374	0.2031383799
rs970816	0.2133347251
rs9287739	0.6957814533
rs745099	0.6616754632
rs6707652	0.8453392337
rs801319	0.4643519627
rs1021609	0.2285888051
rs9711224	0.1497015725
rs7355634	0.2580109228
rs2581064	0.9449353897
rs13390987	0.5403839992
rs35095207	0.6559251769
rs477659	0.2408007049
rs13408369	0.9357811481
rs2568176	0.2457759013
rs13001191	0.1356526786
rs13402931	0.1176499432
rs13393585	0.3320660325
rs10165139	0.0538400133
rs10176759	0.9336011833
rs10167265	0.6415852639
rs2034136	0.5022165653
rs872877	0.59676383
rs4853613	0.6513382774
rs1921148	0.6590706592
rs12693661	0.4586550597
rs1351164	0.5901103538
rs2685198	0.9135373993
rs1516916	0.8395540393
rs10496450	0.6287007954
rs11690664	0.1952139223
rs11124254	0.7860281094
rs480385	0.2990679994
rs2346549	0.6748083358
rs12990561	0.9972126209
rs6759217	0.944076806
rs13015111	0.4396681003
rs12614513	0.0495463324
rs17271183	0.5058435498
rs6758196	0.8670278961
rs373757	0.8984346123
rs2193695	0.5618215444
rs1258425	0.0088342784
rs13393788	0.7079557542
rs6742075	0.4940647901
rs7594382	0.7168969536
rs2113866	0.9899827792
rs12712983	0.0604219738
rs13029494	0.6344830997
rs2372534	0.7134271407
rs13011555	0.623246772
rs12614431	0.3659426545
rs16831066	0.1932781719
rs12624248	0.4533265501
rs698248	0.0992230494
rs13392494	-0.020992446
rs2176042	0.0065611671
rs4352260	0.5719160345
rs13025669	0.1103416045
rs860588	0.2907716566
rs13020055	0.5205012452
rs4666429	0.9994773667
rs2292655	0.1455317555
rs6752986	0.1427928807
rs7598632	0.9904183174
rs3749144	0.6210099324
rs290042	0.2932657973
rs2139390	0.1573362607
rs10201330	0.8406060948
rs12988542	0.0804850981
rs13022402	0.854274813
rs11125567	0.9787454489
rs7572174	0.2336217693
rs10495897	0.7869975106
rs2658997	0.1723706306
rs3732315	0.2151158017
rs16839922	0.3368400994
rs1349717	0.4442612137
rs4669784	0.7390964556
rs16829159	0.3392590704
rs3791676	0.3705989254
rs348971	0.5237551302
rs3792108	0.9271475393
rs11900018	0.5795149481
rs12693314	0.3691656122
rs6743476	0.9545230747
rs7591352	0.0619882193
rs3731972	0.2676860767
rs330586	0.3332049586
rs11125708	0.2950904979
rs6759773	0.5726491185
rs4848514	0.4265097224
rs4854003	0.7095102142
rs4675542	0.5565798376
rs12999485	0.7499043356
rs13000806	0.390972573
rs3771195	0.206849307
rs13429072	0.5169646765
rs2380544	0.5586038519
rs13406935	0.2511583903
rs4671381	0.5635780132
rs11694902	0.9304617545
rs12623480	0.9927702087
rs7597845	0.0725520558
rs3109081	0.5223610138
rs13006222	0.6420616488
rs934706	0.6489082234
rs16832399	0.9501653221
rs2218148	0.8287650987
rs16859173	0.6457563819
rs527580	0.2084189901
rs11692304	0.9170278961
rs10169603	0.7622545759
rs12475185	0.848958594
rs6755105	0.2307800955
rs724326	0.2105449299
rs4643531	0.0748406661
rs2161070	0.9237797316
rs1594304	0.1278903046
rs10177380	0.4506580873
rs2541413	0.1820926128
rs7601738	0.10228889
rs1551129	0.8079470387
rs4853955	0.5024036986
rs3820987	0.0196556702
rs6433165	0.4040518188
rs1388387	0.834818652
rs4073107	0.3009344746
rs10169588	0.7721803466
rs10203141	0.1227902906
